Dataset,Gene,Species,GO-term,Term,Definition,Ontology
Four,EZH2,aipysurusLaevis,GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding,Interacting selectively and non-covalently with a DNA sequence that is part of the core promoter of a RNA polymerase II-transcribed gene.,MF
Four,EZH2,aipysurusLaevis,GO:0048387,negative regulation of retinoic acid receptor signaling pathway,"Any process that stops, prevents, or reduces the frequency, rate or extent of retinoic acid receptor signaling pathway activity.",BP
Four,EZH2,aipysurusLaevis,GO:0035984,cellular response to trichostatin A,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a trichostatin A stimulus.",BP
Four,EZH2,aipysurusLaevis,GO:0036333,hepatocyte homeostasis,Any biological process involved in the maintenance of the steady-state number of hepatocytes within a population of cells. Hepatocytes are specialized epithelial cells of the liver that are organized into interconnected plates called lobules.,BP
Four,EZH2,aipysurusLaevis,GO:0070878,primary miRNA binding,"Interacting selectively and non-covalently with a primary microRNA (pri-miRNA) transcript, an RNA molecule that is processed into a short hairpin-shaped structure called a pre-miRNA and finally into a functional miRNA. Both double-stranded and single-stranded regions of a pri-miRNA are required for binding.",MF
Four,EZH2,aipysurusLaevis,GO:0001226,RNA polymerase II transcription corepressor binding,"Interacting selectively and non-covalently with an RNA polymerase II transcription corepressor, any protein involved in negative regulation of transcription by RNA polymerase II via protein-protein interactions with transcription factors and other proteins that negatively regulate transcription. Transcription corepressors do not bind DNA directly, but rather mediate protein-protein interactions between repressing transcription factors and the basal transcription machinery of RNA polymerase II.",MF
Four,PRDM1,aipysurusLaevis,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,PRDM1,aipysurusLaevis,GO:0060707,trophoblast giant cell differentiation,The process in which a relatively unspecialized cell acquires specialized features of a trophoblast giant cell of the placenta. Trophoblast giant cells are the cell of the placenta that line the maternal decidua.,BP
Four,SMURF2,aipysurusLaevis,GO:0030579,ubiquitin-dependent SMAD protein catabolic process,The chemical reactions and pathways resulting in the breakdown of SMAD signaling proteins by ubiquitination and targeting to the proteasome.,BP
Four,PPIG,aipysurusLaevis,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0).,MF
Four,PPIG,aipysurusLaevis,GO:0016018,cyclosporin A binding,"Interacting selectively and non-covalently with cyclosporin A, a cyclic undecapeptide that contains several N-methylated and unusual amino acids.",MF
Four,GSN,aipysurusLaevis,GO:0005925,focal adhesion,A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ).,CC
Four,GSN,aipysurusLaevis,GO:0036313,phosphatidylinositol 3-kinase catalytic subunit binding,Interacting selectively and non-covalently with the catalytic subunit of a phosphatidylinositol 3-kinase. The catalytic subunit catalyzes the addition of a phosphate group to an inositol lipid at the 3' position of the inositol ring.,MF
Four,COLEC12,aipysurusLaevis,GO:0030169,low-density lipoprotein particle binding,"Interacting selectively and non-covalently with a low-density lipoprotein particle, a lipoprotein particle that is rich in cholesterol esters and low in triglycerides, is typically composed of APOB100 and APOE, and has a density of 1.02-1.06 g/ml and a diameter of between 20-25 nm.",MF
Four,COLEC12,aipysurusLaevis,GO:0071360,cellular response to exogenous dsRNA,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an exogenous double-stranded RNA stimulus.",BP
Four,COLEC12,aipysurusLaevis,GO:0060355,positive regulation of cell adhesion molecule production,"Any process that increases the rate, frequency or extent of cell adhesion molecule production. Cell adhesion molecule production is the appearance of a cell adhesion molecule as a result of its biosynthesis or a decrease in its catabolism.",BP
Four,KIF3B,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,KIF3B,aipysurusLaevis,GO:0016939,kinesin II complex,"A complex consisting of two distinct motor subunits that form a heterodimer complexed with a third non-motor accessory subunit, the kinesin associated protein or KAP; the KIF3 heterodimer interacts via its C-terminal portion with KAP, which is thought to regulate the binding of the motor to cargo membranes.",CC
Four,AK7,aipysurusLaevis,GO:0004017,adenylate kinase activity,Catalysis of the reaction: ATP + AMP = 2 ADP.,MF
Four,AK7,aipysurusLaevis,GO:0004550,nucleoside diphosphate kinase activity,Catalysis of the reaction: ATP + nucleoside diphosphate = ADP + nucleoside triphosphate.,MF
Four,AK7,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,MAPK6,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,MAPK6,aipysurusLaevis,GO:0046982,protein heterodimerization activity,Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.,MF
Four,POU2F1,aipysurusLaevis,GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding,Interacting selectively and non-covalently with a DNA sequence that is part of the core promoter of a RNA polymerase II-transcribed gene.,MF
Four,TRIL,aipysurusLaevis,GO:0046696,lipopolysaccharide receptor complex,"A multiprotein complex that consists of at least three proteins, CD14, TLR4, and MD-2, each of which is glycosylated and which functions as a lipopolysaccharide (LPS) receptor that primes the innate immune response against bacterial pathogens.",CC
Four,TRIL,aipysurusLaevis,GO:0001530,lipopolysaccharide binding,Interacting selectively and non-covalently with lipopolysaccharide.,MF
Four,SEC14L1,aipysurusLaevis,GO:0039552,RIG-I binding,"Interacting selectively and non-covalently with RIG-I, a cytosolic pattern recognition receptor that initiates an antiviral signaling pathway upon binding to viral RNA.",MF
Four,SEC14L1,aipysurusLaevis,GO:0015871,choline transport,"The directed movement of choline into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Choline (2-hydroxyethyltrimethylammonium) is an amino alcohol that occurs widely in living organisms as a constituent of certain types of phospholipids and in the neurotransmitter acetylcholine.",BP
Four,SEC14L1,aipysurusLaevis,GO:0039536,negative regulation of RIG-I signaling pathway,"Any process that stops, prevents, or reduces the frequency, rate or extent of the series of molecular signals generated as a consequence of the cytoplasmic pattern recognition receptor (PRR) RIG-1 (also known as DDX58) binding to viral RNA.",BP
Four,PRMT7,aipysurusLaevis,GO:0035243,protein-arginine omega-N symmetric methyltransferase activity,"Catalysis of the addition of a second methyl group to methylated peptidyl-arginine. Methylation is on the terminal nitrogen (omega nitrogen) residue that is not already methylated, resulting in symmetrical peptidyl-N(omega),N'(omega)-dimethyled arginine residues.",MF
Four,PRMT7,aipysurusLaevis,GO:0035241,protein-arginine omega-N monomethyltransferase activity,Catalysis of the addition of a methyl group to either of the unmethylated terminal nitrogen atoms (also called omega nitrogen) in peptidyl-arginine to form an omega-N-G-monomethylated arginine residue.  The reaction is S-adenosyl-L-methionine + [protein]-L-arginine = S-adenosyl-L-homocysteine + [protein]-Nomega-methyl-L-arginine.,MF
Four,PRMT7,aipysurusLaevis,GO:0043046,DNA methylation involved in gamete generation,The covalent transfer of a methyl group to C-5 of cytosine that contributes to the establishment of DNA methylation patterns in the gamete.,BP
Four,PRMT7,aipysurusLaevis,GO:0016277,[myelin basic protein]-arginine N-methyltransferase activity,Catalysis of the reaction: S-adenosyl-L-methionine + (myelin basic protein)-arginine = S-adenosyl-L-homocysteine + (myelin basic protein)-N(omega)-methyl-arginine.,MF
Four,PRMT7,aipysurusLaevis,GO:0044020,histone methyltransferase activity (H4-R3 specific),Catalysis of the reaction: S-adenosyl-L-methionine + (histone H4)-arginine (position 3) = S-adenosyl-L-homocysteine + (histone H4)-N-methyl-arginine (position 3). This reaction is the addition of a methyl group to arginine at position 3 of histone H4.,MF
Four,ATG7,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,ATG7,aipysurusLaevis,GO:0071455,cellular response to hyperoxia,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating increased oxygen tension.",BP
Four,ATG7,aipysurusLaevis,GO:0039521,suppression by virus of host autophagy,"Any process in which a virus stops, prevents, or reduces the frequency, rate or extent of autophagy in the host.",BP
Four,BBS7,aipysurusLaevis,GO:0001103,RNA polymerase II repressing transcription factor binding,"Interacting selectively and non-covalently with an RNA polymerase II transcription repressing factor, a protein involved in negative regulation of transcription.",MF
Four,USP49,aipysurusLaevis,GO:0004843,thiol-dependent ubiquitin-specific protease activity,Catalysis of the thiol-dependent hydrolysis of a peptide bond formed by the C-terminal glycine of ubiquitin and another protein.,MF
Four,OG12193,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,ARID5A,aipysurusLaevis,GO:0046966,thyroid hormone receptor binding,Interacting selectively and non-covalently with a thyroid hormone receptor.,MF
Four,ARID5A,aipysurusLaevis,GO:0046965,retinoid X receptor binding,Interacting selectively and non-covalently with a retinoid X receptor.,MF
Four,ARID5A,aipysurusLaevis,GO:0030331,estrogen receptor binding,Interacting selectively and non-covalently with an estrogen receptor.,MF
Four,ARID5A,aipysurusLaevis,GO:0071391,cellular response to estrogen stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by an estrogen, C18 steroid hormones that can stimulate the development of female sexual characteristics.",BP
Four,ARID5A,aipysurusLaevis,GO:0050681,androgen receptor binding,Interacting selectively and non-covalently with an androgen receptor.,MF
Four,RAD17,aipysurusLaevis,GO:0003689,DNA clamp loader activity,"Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the opening of the ring structure of the PCNA complex, or any of the related sliding clamp complexes, and their closing around the DNA duplex.",MF
Four,FASTKD2,aipysurusLaevis,GO:0044528,regulation of mitochondrial mRNA stability,Any process that modulates the propensity of mitochondrial mRNA molecules to degradation. Includes processes that both stabilize and destabilize mitochondrial mRNAs.,BP
Four,GRN,aipysurusLaevis,GO:0050821,protein stabilization,Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation.,BP
Four,GRN,aipysurusLaevis,GO:0051087,chaperone binding,"Interacting selectively and non-covalently with a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport.",MF
Four,GRN,aipysurusLaevis,GO:0007042,lysosomal lumen acidification,"Any process that reduces the pH of the lysosomal lumen, measured by the concentration of the hydrogen ion.",BP
Four,GRN,aipysurusLaevis,GO:0060266,negative regulation of respiratory burst involved in inflammatory response,"Any process that decreases the rate, frequency or extent of a phase of elevated metabolic activity, during which oxygen consumption increases made as a defense response ; this leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals.",BP
Four,MAK,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,KLHL22,aipysurusLaevis,GO:0031463,Cul3-RING ubiquitin ligase complex,A ubiquitin ligase complex in which a cullin from the Cul3 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a BTB-domain-containing protein.,CC
Four,DARS2,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,DARS2,aipysurusLaevis,GO:0004815,aspartate-tRNA ligase activity,Catalysis of the reaction: ATP + L-aspartate + tRNA(Asp) = AMP + diphosphate + L-aspartyl-tRNA(Asp).,MF
Four,DARS2,aipysurusLaevis,GO:0050560,aspartate-tRNA(Asn) ligase activity,Catalysis of the reaction: tRNA(Asx) + L-aspartate + ATP = aspartyl-tRNA(Asx) + diphosphate + AMP.,MF
Four,DARS2,aipysurusLaevis,GO:0070145,mitochondrial asparaginyl-tRNA aminoacylation,"The process of coupling asparagine to asparaginyl-tRNA in a mitochondrion, catalyzed by asparaginyl-tRNA synthetase. In tRNA aminoacylation, the amino acid is first activated by linkage to AMP and then transferred to either the 2'- or the 3'-hydroxyl group of the 3'-adenosine residue of the tRNA.",BP
Four,DARS2,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,CCNK,aipysurusLaevis,GO:0002945,cyclin K-CDK13 complex,A protein complex consisting of cyclin Kand cyclin-dependent kinase 13 (CDK13). Cyclins are characterized by periodicity in protein abundance throughout the cell cycle. Cyclin-dependent kinases represent a family of serine/threonine protein kinases that become active upon binding to a cyclin regulatory partner.,CC
Four,CCNK,aipysurusLaevis,GO:0004693,cyclin-dependent protein serine/threonine kinase activity,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate. This reaction requires the binding of a regulatory cyclin subunit and full activity requires stimulatory phosphorylation by a CDK-activating kinase (CAK).",MF
Four,CCNK,aipysurusLaevis,GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity,Catalysis of the reaction: ATP + (DNA-directed RNA polymerase II) = ADP + phospho-(DNA-directed RNA polymerase II); phosphorylation occurs on residues in the carboxy-terminal domain (CTD) repeats.,MF
Four,CCNK,aipysurusLaevis,GO:0044828,negative regulation by host of viral genome replication,"A process in which a host organism stops, prevents or reduces the frequency, rate or extent of viral genome replication.",BP
Four,CCNK,aipysurusLaevis,GO:0002944,cyclin K-CDK12 complex,A protein complex consisting of cyclin Kand cyclin-dependent kinase 12 (CDK12). Cyclins are characterized by periodicity in protein abundance throughout the cell cycle. Cyclin-dependent kinases represent a family of serine/threonine protein kinases that become active upon binding to a cyclin regulatory partner.,CC
Four,ACTR8,aipysurusLaevis,GO:0031011,Ino80 complex,A multisubunit protein complex that contains the Ino80p ATPase; exhibits chromatin remodeling activity and 3' to 5' DNA helicase activity.,CC
Four,ARNTL,aipysurusLaevis,GO:0070888,E-box binding,"Interacting selectively and non-covalently with an E-box, a DNA motif with the consensus sequence CANNTG that is found in the promoters of a wide array of genes expressed in neurons, muscle and other tissues.",MF
Four,ARNTL,aipysurusLaevis,GO:0051879,Hsp90 protein binding,"Interacting selectively and non-covalently with Hsp90 proteins, any of a group of heat shock proteins around 90kDa in size.",MF
Four,ARNTL,aipysurusLaevis,GO:0017162,aryl hydrocarbon receptor binding,Interacting selectively and non-covalently with an aryl hydrocarbon receptor.,MF
Four,CRY2,aipysurusLaevis,GO:0071949,FAD binding,"Interacting selectively and non-covalently with the oxidized form, FAD, of flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes.",MF
Four,CRY2,aipysurusLaevis,GO:0043153,entrainment of circadian clock by photoperiod,"The synchronization of a circadian rhythm to photoperiod, the intermittent cycle of light (day) and dark (night).",BP
Four,CLPX,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,CLPX,aipysurusLaevis,GO:0004176,ATP-dependent peptidase activity,"Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the hydrolysis of peptide bonds.",MF
Four,CLPX,aipysurusLaevis,GO:0009841,mitochondrial endopeptidase Clp complex,A Clp endopeptidase complex located in the mitochondrion.,CC
Four,CLPX,aipysurusLaevis,GO:0051082,unfolded protein binding,Interacting selectively and non-covalently with an unfolded protein.,MF
Four,ASH2L,aipysurusLaevis,GO:0071339,MLL1 complex,"A protein complex that can methylate lysine-4 of histone H3. MLL1/MLL is the catalytic methyltransferase subunit, and the complex also contains the core components ASH2L, HCFC1/HCF1 WDR5 and RBBP5.",CC
Four,ASH2L,aipysurusLaevis,GO:0008013,beta-catenin binding,Interacting selectively and non-covalently with the beta subunit of the catenin complex.,MF
Four,ASH2L,aipysurusLaevis,GO:0042800,histone methyltransferase activity (H3-K4 specific),Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 4) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 4). This reaction is the addition of a methyl group onto lysine at position 4 of the histone H3 protein.,MF
Four,ASH2L,aipysurusLaevis,GO:0044666,MLL3/4 complex,"A protein complex that can methylate lysine-4 of histone H3, and which contains either of the protein subunits MLL3 or MLL4 in mammals, or equivalent in other species.",CC
Four,ASH2L,aipysurusLaevis,GO:0048188,Set1C/COMPASS complex,"A conserved protein complex that catalyzes methylation of histone H3. In Saccharomyces the complex contains Shg1p, Sdc1p, Swd1p, Swd2p, Swd3p, Spp1p, Bre2p, and the trithorax-related Set1p; in mammals it contains the catalytic subunit (SETD1A or SETD1B), WDR5, WDR82, RBBP5, ASH2L/ASH2, CXXC1/CFP1, HCFC1 and DPY30.",CC
Four,NCOA4,aipysurusLaevis,GO:0044754,autolysosome,A type of secondary lysosome in which a primary lysosome has fused with the outer membrane of an autophagosome. It is involved in the second step of autophagy in which it degrades contents with acidic lysosomal hydrolases.,CC
Four,LMOD2,aipysurusLaevis,GO:0005523,tropomyosin binding,"Interacting selectively and non-covalently with tropomyosin, a protein associated with actin filaments both in cytoplasm and, in association with troponin, in the thin filament of striated muscle.",MF
Four,LMOD2,aipysurusLaevis,GO:0003785,actin monomer binding,"Interacting selectively and non-covalently with monomeric actin, also known as G-actin.",MF
Four,LMOD2,aipysurusLaevis,GO:0051694,pointed-end actin filament capping,"The binding of a protein or protein complex to the pointed (or minus) end of an actin filament, thus preventing the addition, exchange or removal of further actin subunits.",BP
Four,LCOR,aipysurusLaevis,GO:0001226,RNA polymerase II transcription corepressor binding,"Interacting selectively and non-covalently with an RNA polymerase II transcription corepressor, any protein involved in negative regulation of transcription by RNA polymerase II via protein-protein interactions with transcription factors and other proteins that negatively regulate transcription. Transcription corepressors do not bind DNA directly, but rather mediate protein-protein interactions between repressing transcription factors and the basal transcription machinery of RNA polymerase II.",MF
Four,LCOR,aipysurusLaevis,GO:0030331,estrogen receptor binding,Interacting selectively and non-covalently with an estrogen receptor.,MF
Four,LCOR,aipysurusLaevis,GO:0042826,histone deacetylase binding,Interacting selectively and non-covalently with the enzyme histone deacetylase.,MF
Four,LCOR,aipysurusLaevis,GO:0071392,cellular response to estradiol stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by estradiol, a C18 steroid hormone hydroxylated at C3 and C17 that acts as a potent estrogen.",BP
Four,FIP1L1,aipysurusLaevis,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,"A multisubunit complex that binds to the canonical AAUAAA hexamer and to U-rich upstream sequence elements on the pre-mRNA, thereby stimulating the otherwise weakly active and nonspecific polymerase to elongate efficiently RNAs containing a poly(A) signal.",CC
Four,FIP1L1,aipysurusLaevis,GO:0098789,pre-mRNA cleavage required for polyadenylation,"The targeted, endonucleolytic cleavage of a pre-mRNA,  required for polyadenylation of the 3' end.  This cleavage is directed by binding sites near the 3' end of the mRNA and leaves a 3' hydoxyl end which then becomes a target for adenylation.",BP
Four,LMNB1,aipysurusLaevis,GO:0043274,phospholipase binding,"Interacting selectively and non-covalently with any phospholipase, enzymes that catalyze of the hydrolysis of a glycerophospholipid.",MF
Four,LMNB1,aipysurusLaevis,GO:0005638,lamin filament,"Any of a group of intermediate-filament proteins that form the fibrous matrix on the inner surface of the nuclear envelope. They are classified as lamins A, B and C.",CC
Four,RGS14,aipysurusLaevis,GO:0001965,G-protein alpha-subunit binding,Interacting selectively and non-covalently with a G-protein alpha subunit. The alpha subunit binds a guanine nucleotide.,MF
Four,RGS14,aipysurusLaevis,GO:0005096,GTPase activator activity,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",MF
Four,TTLL2,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,LARP7,aipysurusLaevis,GO:0097322,7SK snRNA binding,Interacting selectively and non-covalently with a 7SK small nuclear RNA (7SK snRNA).,MF
Four,LARP7,aipysurusLaevis,GO:0000494,box C/D snoRNA 3'-end processing,Any process involved in forming the mature 3' end of a box C/D snoRNA molecule.,BP
Four,DEAF1,aipysurusLaevis,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,YTHDF1,aipysurusLaevis,GO:0010494,cytoplasmic stress granule,A dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress.,CC
Four,MTMR9,aipysurusLaevis,GO:0050821,protein stabilization,Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation.,BP
Four,MTMR9,aipysurusLaevis,GO:0060304,regulation of phosphatidylinositol dephosphorylation,"Any process that modulates the frequency, rate or extent of the chemical reaction involving the removal of one or more phosphate groups from a phosphatidylinositol.",BP
Four,LRRC47,aipysurusLaevis,GO:0004826,phenylalanine-tRNA ligase activity,Catalysis of the reaction: ATP + L-phenylalanine + tRNA(Phe) = AMP + diphosphate + L-phenylalanyl-tRNA(Phe).,MF
Four,REL,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,REL,aipysurusLaevis,GO:0032688,negative regulation of interferon-beta production,"Any process that stops, prevents, or reduces the frequency, rate, or extent of interferon-beta production.",BP
Four,TYSND1,aipysurusLaevis,GO:0004252,serine-type endopeptidase activity,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).",MF
Four,TRMT61B,aipysurusLaevis,GO:0061953,mRNA (adenine-N1-)-methyltransferase activity,Catalysis of the reaction: S-adenosyl-L-methionine + adenine in mRNA = S-adenosyl-L-homocysteine + N(1)-methyladenine in mRNA.,MF
Four,TRMT61B,aipysurusLaevis,GO:0070901,mitochondrial tRNA methylation,The posttranscriptional addition of methyl groups to specific residues in a mitochondrial tRNA molecule.,BP
Four,TRMT61B,aipysurusLaevis,GO:0031515,tRNA (m1A) methyltransferase complex,"A protein complex involved in the catalysis of the formation of the modified nucleotide 1-methyladenosine (m1A) in tRNA. In yeast, it is a heterotetramer of two subunits, Gcd10p and Gcd14p, while in bacteria and archaea it is a homotetramer.",CC
Four,CCDC120,aipysurusLaevis,GO:0005814,centriole,"A cellular organelle, found close to the nucleus in many eukaryotic cells, consisting of a small cylinder with microtubular walls, 300-500 nm long and 150-250 nm in diameter. It contains nine short, parallel, peripheral microtubular fibrils, each fibril consisting of one complete microtubule fused to two incomplete microtubules. Cells usually have two centrioles, lying at right angles to each other. At division, each pair of centrioles generates another pair and the twin pairs form the pole of the mitotic spindle.",CC
Four,LPCAT2,aipysurusLaevis,GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,"Catalysis of the reaction: acyl-CoA + 1-acyl-sn-glycerol-3-phosphate = CoA + 1,2-diacyl-sn-glycerol-3-phosphate.",MF
Four,LPCAT2,aipysurusLaevis,GO:0047184,1-acylglycerophosphocholine O-acyltransferase activity,Catalysis of the reaction: 1-acyl-sn-glycero-3-phosphocholine + acyl-CoA = phosphatidylcholine + CoA.,MF
Four,LPCAT2,aipysurusLaevis,GO:0036151,phosphatidylcholine acyl-chain remodeling,"Remodeling the acyl chains of phosphatidylcholine, through sequential deacylation and re-acylation reactions, to generate phosphatidylcholine containing different types of fatty acid acyl chains.",BP
Four,PGS1,aipysurusLaevis,GO:0032049,cardiolipin biosynthetic process,"The chemical reactions and pathways resulting in the formation of cardiolipin, 1,3-bis(3-phosphatidyl)glycerol.",BP
Four,PGS1,aipysurusLaevis,GO:0008444,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity,Catalysis of the reaction: sn-glycerol 3-phosphate + CDP-diacylglycerol = 3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate + CMP + H(+).,MF
Four,GATB,aipysurusLaevis,GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,Catalysis of the reaction: L-glutamine + glutamyl-tRNA(Gln) + ATP = L-glutamate + glutaminyl-tRNA(Gln) + phosphate + ADP.,MF
Four,GATB,aipysurusLaevis,GO:0070681,glutaminyl-tRNAGln biosynthesis via transamidation,"A tRNA aminoacylation process in which glutaminyl-tRNAGln is formed by a tRNA-dependent two-step pathway. In the first step a non-discriminating glutamyl-tRNAGlx synthetase generates the misacylated L-glutamyl-tRNAGln species, and in the second step it is amidated to the correctly charged L-glutaminyl-tRNAGln by a glutamyl-tRNAGln amidotransferase.",BP
Four,CPNE3,aipysurusLaevis,GO:0005925,focal adhesion,A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ).,CC
