Dataset,Gene,Species,GO-term,Term,Definition,Ontology
Four,ITGB6,aipysurusLaevis,GO:0043588,skin development,"The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue.",BP
Four,ITGB6,aipysurusLaevis,GO:0007160,cell-matrix adhesion,The binding of a cell to the extracellular matrix via adhesion molecules.,BP
Four,ITGB6,aipysurusLaevis,GO:0010467,gene expression,The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.,BP
Four,ITGB6,aipysurusLaevis,GO:0009611,response to wounding,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.",BP
Four,ITGB6,aipysurusLaevis,GO:0033627,cell adhesion mediated by integrin,"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits.",BP
Four,ITGB6,aipysurusLaevis,GO:0034685,integrin alphav-beta6 complex,An integrin complex that comprises one alphav subunit and one beta6 subunit.,CC
Four,ITGB6,aipysurusLaevis,GO:0005178,integrin binding,Interacting selectively and non-covalently with an integrin.,MF
Four,ITGB6,aipysurusLaevis,GO:0042060,wound healing,"The series of events that restore integrity to a damaged tissue, following an injury.",BP
Four,ITGB6,aipysurusLaevis,GO:0060348,bone development,"The process whose specific outcome is the progression of bone over time, from its formation to the mature structure. Bone is the hard skeletal connective tissue consisting of both mineral and cellular components.",BP
Four,ITGB6,aipysurusLaevis,GO:0060395,SMAD protein signal transduction,"The cascade of processes by which a signal interacts with a receptor, causing a change in the activity of a SMAD protein, and ultimately effecting a change in the functioning of the cell.",BP
Four,ITGB6,aipysurusLaevis,GO:0048286,lung alveolus development,"The process whose specific outcome is the progression of the alveolus over time, from its formation to the mature structure. The alveolus is a sac for holding air in the lungs; formed by the terminal dilation of air passageways.",BP
Four,ITGB6,aipysurusLaevis,GO:0009615,response to virus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus.",BP
Four,ITGB6,aipysurusLaevis,GO:0070166,enamel mineralization,"The process in which calcium salts, mainly carbonated hydroxyapatite, are deposited in tooth enamel.",BP
Four,ITGB6,aipysurusLaevis,GO:0043129,surfactant homeostasis,Any process involved in the maintenance of a steady-state level of the surface-active lipoprotein mixture which coats the alveoli.,BP
Four,ITGB6,aipysurusLaevis,GO:0055091,phospholipid homeostasis,Any process involved in the maintenance of an internal steady state of phospholipid within an organism or cell.,BP
Four,ITGB6,aipysurusLaevis,GO:0060435,bronchiole development,The biological process whose specific outcome is the progression of a bronchiole from an initial condition to its mature state. This process begins with the formation of the bronchiole and ends with the mature structure. A bronchiole is the first airway branch that no longer contains cartilage; it is a branch of the bronchi.,BP
Four,ITGB6,aipysurusLaevis,GO:0006955,immune response,Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat.,BP
Four,ITGB6,aipysurusLaevis,GO:0071479,cellular response to ionizing radiation,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays.",BP
Four,ITGB6,aipysurusLaevis,GO:0060022,hard palate development,"The biological process whose specific outcome is the progression of the hard palate from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. The hard palate is the anterior portion of the palate consisting of bone and mucous membranes.",BP
Four,ITGB6,aipysurusLaevis,GO:0007229,integrin-mediated signaling pathway,"A series of molecular signals initiated by the binding of extracellular ligand to an integrin on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription.",BP
Four,ITGB6,aipysurusLaevis,GO:0008305,integrin complex,"A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands.",CC
Four,ITGB6,aipysurusLaevis,GO:0038023,signaling receptor activity,Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.,MF
Four,ITGB6,aipysurusLaevis,GO:0007155,cell adhesion,"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.",BP
Four,ITGB6,aipysurusLaevis,GO:0071604,transforming growth factor beta production,"The appearance of any member of the transforming growth factor-beta family of cytokines due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels. Transforming growth factor-beta family members include TGF-B1, TGF-B2, and TGF-B3.",BP
Four,ITGB6,aipysurusLaevis,GO:0061520,Langerhans cell differentiation,The process in which a precursor cell type acquires the specialized features of a Langerhans cell.,BP
Four,EZH2,aipysurusLaevis,GO:0043406,positive regulation of MAP kinase activity,"Any process that activates or increases the frequency, rate or extent of MAP kinase activity.",BP
Four,EZH2,aipysurusLaevis,GO:0045892,"negative regulation of transcription, DNA-templated","Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.",BP
Four,EZH2,aipysurusLaevis,GO:0005634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC
Four,EZH2,aipysurusLaevis,GO:0000122,negative regulation of transcription by RNA polymerase II,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II.",BP
Four,EZH2,aipysurusLaevis,GO:0070301,cellular response to hydrogen peroxide,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus.",BP
Four,EZH2,aipysurusLaevis,GO:0071902,positive regulation of protein serine/threonine kinase activity,"Any process that increases the rate, frequency, or extent of protein serine/threonine kinase activity.",BP
Four,EZH2,aipysurusLaevis,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,"Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.",MF
Four,EZH2,aipysurusLaevis,GO:0003677,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF
Four,EZH2,aipysurusLaevis,GO:0003682,chromatin binding,"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.",MF
Four,EZH2,aipysurusLaevis,GO:0001932,regulation of protein phosphorylation,"Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein.",BP
Four,EZH2,aipysurusLaevis,GO:0043565,sequence-specific DNA binding,"Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.",MF
Four,EZH2,aipysurusLaevis,GO:0010718,positive regulation of epithelial to mesenchymal transition,"Any process that increases the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition is where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell.",BP
Four,EZH2,aipysurusLaevis,GO:0006357,regulation of transcription by RNA polymerase II,"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.",BP
Four,EZH2,aipysurusLaevis,GO:0030183,B cell differentiation,The process in which a precursor cell type acquires the specialized features of a B cell. A B cell is a lymphocyte of B lineage with the phenotype CD19-positive and capable of B cell mediated immunity.,BP
Four,EZH2,aipysurusLaevis,GO:0000785,chromatin,"The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.",CC
Four,EZH2,aipysurusLaevis,GO:0010468,regulation of gene expression,"Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.",BP
Four,EZH2,aipysurusLaevis,GO:0043547,positive regulation of GTPase activity,Any process that activates or increases the activity of a GTPase.,BP
Four,EZH2,aipysurusLaevis,GO:0042752,regulation of circadian rhythm,"Any process that modulates the frequency, rate or extent of a circadian rhythm. A circadian rhythm is a biological process in an organism that recurs with a regularity of approximately 24 hours.",BP
Four,EZH2,aipysurusLaevis,GO:0042127,regulation of cell population proliferation,"Any process that modulates the frequency, rate or extent of cell proliferation.",BP
Four,EZH2,aipysurusLaevis,GO:0070314,G1 to G0 transition,"A cell cycle arrest process that results in arrest during G1 phase, whereupon the cell enters a specialized resting state known as G0 or quiescence.",BP
Four,EZH2,aipysurusLaevis,GO:0031490,chromatin DNA binding,Interacting selectively and non-covalently with DNA that is assembled into chromatin.,MF
Four,EZH2,aipysurusLaevis,GO:0008284,positive regulation of cell population proliferation,Any process that activates or increases the rate or extent of cell proliferation.,BP
Four,EZH2,aipysurusLaevis,GO:0014898,cardiac muscle hypertrophy in response to stress,"The physiological enlargement or overgrowth of all or part of the heart muscle due to an increase in size (not length) of individual cardiac muscle fibers, without cell division, as a result of a disturbance in organismal or cellular homeostasis.",BP
Four,EZH2,aipysurusLaevis,GO:0016571,histone methylation,The modification of histones by addition of methyl groups.,BP
Four,EZH2,aipysurusLaevis,GO:0046976,histone methyltransferase activity (H3-K27 specific),Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 27) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 27). This reaction is the addition of a methyl group onto lysine at position 27 of the histone H3 protein.,MF
Four,EZH2,aipysurusLaevis,GO:0003723,RNA binding,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF
Four,EZH2,aipysurusLaevis,GO:0042054,histone methyltransferase activity,Catalysis of the reaction: S-adenosyl-L-methionine + histone = S-adenosyl-L-homocysteine + methyl-histone. Histone methylation generally occurs on either an arginine or lysine residue.,MF
Four,EZH2,aipysurusLaevis,GO:0035098,ESC/E(Z) complex,"A multimeric protein complex that can methylate lysine-27 and lysine-9 residues of histone H3. In Drosophila the core subunits of the complex include ESC, E(Z), CAF1 (NURF-55) and SU(Z)12. In mammals the core subunits of the complex include EED, EZH2, SUZ12 and RBBP4.",CC
Four,EZH2,aipysurusLaevis,GO:0003714,transcription corepressor activity,"A protein or a member of a complex that interacts specifically and non-covalently with a DNA-bound DNA-binding transcription factor to repress the transcription of specific genes. Corepressors often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second ATP-dependent class modifies the conformation of chromatin. A third class occludes DNA-binding transcription factor protein-protein interaction domains. A fourth class of corepressors prevents interactions of DNA bound DNA-binding transcription factor with coactivators.",MF
Four,EZH2,aipysurusLaevis,GO:0045814,"negative regulation of gene expression, epigenetic","Any epigenetic process that stops, prevents or reduces the rate of gene expression.",BP
Four,EZH2,aipysurusLaevis,GO:0043021,ribonucleoprotein complex binding,Interacting selectively and non-covalently with any complex of RNA and protein.,MF
Four,EZH2,aipysurusLaevis,GO:0048468,cell development,"The process whose specific outcome is the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate.",BP
Four,EZH2,aipysurusLaevis,GO:0034244,negative regulation of transcription elongation from RNA polymerase II promoter,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides, catalyzed by RNA polymerase II.",BP
Four,EZH2,aipysurusLaevis,GO:0045120,pronucleus,"The nucleus of either the ovum or the spermatozoon following fertilization. Thus, in the fertilized ovum, there are two pronuclei, one originating from the ovum, the other from the spermatozoon that brought about fertilization; they approach each other, but do not fuse until just before the first cleavage, when each pronucleus loses its membrane to release its contents.",CC
Four,EZH2,aipysurusLaevis,GO:0050767,regulation of neurogenesis,"Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system.",BP
Four,EZH2,aipysurusLaevis,GO:0071168,protein localization to chromatin,"Any process in which a protein is transported to, or maintained at, a part of a chromosome that is organized into chromatin.",BP
Four,EZH2,aipysurusLaevis,GO:0006306,DNA methylation,The covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine.,BP
Four,EZH2,aipysurusLaevis,GO:0097421,liver regeneration,The regrowth of lost or destroyed liver.,BP
Four,EZH2,aipysurusLaevis,GO:0043433,negative regulation of DNA-binding transcription factor activity,"Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription.",BP
Four,EZH2,aipysurusLaevis,GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding,Interacting selectively and non-covalently with a DNA sequence that is part of the core promoter of a RNA polymerase II-transcribed gene.,MF
Four,EZH2,aipysurusLaevis,GO:0051154,negative regulation of striated muscle cell differentiation,"Any process that stops, prevents, or reduces the frequency, rate or extent of striated muscle cell differentiation.",BP
Four,EZH2,aipysurusLaevis,GO:0014834,skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,"Any process by which the number of skeletal muscle satellite cells in a skeletal muscle is maintained during muscle regeneration. There are at least three mechanisms by which this is achieved. Skeletal muscle satellite stem cell asymmetric division ensures satellite stem cell numbers are kept constant. Symmetric division of these cells amplifies the number of skeletal muscle satellite stem cells.  Some adult skeletal muscle myoblasts (descendants of activated satellite cells) can develop back into quiescent satellite cells, replenishing the overall pool of satellite cells.",BP
Four,EZH2,aipysurusLaevis,GO:0048387,negative regulation of retinoic acid receptor signaling pathway,"Any process that stops, prevents, or reduces the frequency, rate or extent of retinoic acid receptor signaling pathway activity.",BP
Four,EZH2,aipysurusLaevis,GO:0014013,regulation of gliogenesis,"Any process that modulates the frequency, rate or extent of gliogenesis, the formation of mature glia.",BP
Four,EZH2,aipysurusLaevis,GO:0021695,cerebellar cortex development,"The process whose specific outcome is the progression of the cerebellar cortex over time, from its formation to the mature structure. The cerebellar cortex is a thin mantle of gray matter that covers the surface of each cerebral hemisphere. It has a characteristic morphology with convolutions (gyri) and crevices (sulci) that have specific functions. Six layers of nerve cells and the nerve pathways that connect them comprise the cerebellar cortex. Together, these regions are responsible for the processes of conscious thought, perception, emotion and memory as well as advanced motor function.",BP
Four,EZH2,aipysurusLaevis,GO:0035984,cellular response to trichostatin A,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a trichostatin A stimulus.",BP
Four,EZH2,aipysurusLaevis,GO:0036333,hepatocyte homeostasis,Any biological process involved in the maintenance of the steady-state number of hepatocytes within a population of cells. Hepatocytes are specialized epithelial cells of the liver that are organized into interconnected plates called lobules.,BP
Four,EZH2,aipysurusLaevis,GO:0045605,negative regulation of epidermal cell differentiation,"Any process that stops, prevents, or reduces the frequency, rate or extent of epidermal cell differentiation.",BP
Four,EZH2,aipysurusLaevis,GO:0070734,histone H3-K27 methylation,The modification of histone H3 by addition of one or more methyl groups to lysine at position 27 of the histone.,BP
Four,EZH2,aipysurusLaevis,GO:0098532,histone H3-K27 trimethylation,The modification of histone H3 by addition of three methyl groups to lysine at position 27 of the histone.,BP
Four,EZH2,aipysurusLaevis,GO:0016279,protein-lysine N-methyltransferase activity,Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the epsilon-amino group of a lysine residue in a protein substrate.,MF
Four,EZH2,aipysurusLaevis,GO:0018024,histone-lysine N-methyltransferase activity,"Catalysis of the reaction: S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine. The methylation of peptidyl-lysine in histones forms N6-methyl-L-lysine, N6,N6-dimethyl-L-lysine and N6,N6,N6-trimethyl-L-lysine derivatives.",MF
Four,EZH2,aipysurusLaevis,GO:0070878,primary miRNA binding,"Interacting selectively and non-covalently with a primary microRNA (pri-miRNA) transcript, an RNA molecule that is processed into a short hairpin-shaped structure called a pre-miRNA and finally into a functional miRNA. Both double-stranded and single-stranded regions of a pri-miRNA are required for binding.",MF
Four,EZH2,aipysurusLaevis,GO:0006348,chromatin silencing at telomere,Repression of transcription of telomeric DNA by altering the structure of chromatin.,BP
Four,EZH2,aipysurusLaevis,GO:0000781,"chromosome, telomeric region",The terminal region of a linear chromosome that includes the telomeric DNA repeats and associated proteins.,CC
Four,EZH2,aipysurusLaevis,GO:0005515,protein binding,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF
Four,EZH2,aipysurusLaevis,GO:0001226,RNA polymerase II transcription corepressor binding,"Interacting selectively and non-covalently with an RNA polymerase II transcription corepressor, any protein involved in negative regulation of transcription by RNA polymerase II via protein-protein interactions with transcription factors and other proteins that negatively regulate transcription. Transcription corepressors do not bind DNA directly, but rather mediate protein-protein interactions between repressing transcription factors and the basal transcription machinery of RNA polymerase II.",MF
Four,EZH2,aipysurusLaevis,GO:0005677,chromatin silencing complex,Any protein complex that mediates changes in chromatin structure that result in transcriptional silencing.,CC
Four,NCBP1,aipysurusLaevis,GO:0005846,nuclear cap binding complex,"A conserved heterodimeric protein complex that binds to the 5' terminal cap structure m7G(5')ppp(5')N of nascent eukaryotic RNA polymerase II transcripts such as pre-mRNA and U snRNA. The consists of proteins known as CBP20 and CBP80, binds to cap structures in the nucleus, and is involved in pre-mRNA splicing, 3'-end formation, and RNA nuclear export.",CC
Four,NCBP1,aipysurusLaevis,GO:0005515,protein binding,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF
Four,NCBP1,aipysurusLaevis,GO:0003723,RNA binding,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF
Four,NCBP1,aipysurusLaevis,GO:0000339,RNA cap binding,Interacting selectively and non-covalently with a 7-methylguanosine (m7G) group or derivative located at the 5' end of an RNA molecule.,MF
Four,NCBP1,aipysurusLaevis,GO:0016070,RNA metabolic process,"The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage.",BP
Four,NCBP1,aipysurusLaevis,GO:0045292,"mRNA cis splicing, via spliceosome","The joining together, after removal of an intervening sequence composed of one or more introns, of two segments of the same RNA molecule via spliceosomal catalysis to produce an mRNA composed only of exon sequences that all came from the same primary transcript.",BP
Four,NCBP1,aipysurusLaevis,GO:0051028,mRNA transport,"The directed movement of mRNA, messenger ribonucleic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP
Four,PRDM1,aipysurusLaevis,GO:0048869,cellular developmental process,A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition.,BP
Four,PRDM1,aipysurusLaevis,GO:0005634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC
Four,PRDM1,aipysurusLaevis,GO:0005737,cytoplasm,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",CC
Four,PRDM1,aipysurusLaevis,GO:0000122,negative regulation of transcription by RNA polymerase II,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II.",BP
Four,PRDM1,aipysurusLaevis,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,"Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.",MF
Four,PRDM1,aipysurusLaevis,GO:0009791,post-embryonic development,"The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development.",BP
Four,PRDM1,aipysurusLaevis,GO:0010628,positive regulation of gene expression,"Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.",BP
Four,PRDM1,aipysurusLaevis,GO:0001701,in utero embryonic development,"The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus.",BP
Four,PRDM1,aipysurusLaevis,GO:0010629,negative regulation of gene expression,"Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.",BP
Four,PRDM1,aipysurusLaevis,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,PRDM1,aipysurusLaevis,GO:0001763,morphogenesis of a branching structure,"The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes.",BP
Four,PRDM1,aipysurusLaevis,GO:0048844,artery morphogenesis,The process in which the anatomical structures of arterial blood vessels are generated and organized. Arteries are blood vessels that transport blood from the heart to the body and its organs.,BP
Four,PRDM1,aipysurusLaevis,GO:0045165,cell fate commitment,The commitment of cells to specific cell fates and their capacity to differentiate into particular kinds of cells. Positional information is established through protein signals that emanate from a localized source within a cell (the initial one-cell zygote) or within a developmental field.,BP
Four,PRDM1,aipysurusLaevis,GO:0042127,regulation of cell population proliferation,"Any process that modulates the frequency, rate or extent of cell proliferation.",BP
Four,PRDM1,aipysurusLaevis,GO:0001822,kidney development,"The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine.",BP
Four,PRDM1,aipysurusLaevis,GO:0001893,maternal placenta development,"Maternally driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin.",BP
Four,PRDM1,aipysurusLaevis,GO:0042462,eye photoreceptor cell development,"Development of a photoreceptor, a sensory cell in the eye that reacts to the presence of light. They usually contain a pigment that undergoes a chemical change when light is absorbed, thus stimulating a nerve.",BP
Four,PRDM1,aipysurusLaevis,GO:0007281,germ cell development,"The process whose specific outcome is the progression of an immature germ cell over time, from its formation to the mature structure (gamete). A germ cell is any reproductive cell in a multicellular organism.",BP
Four,PRDM1,aipysurusLaevis,GO:0003279,cardiac septum development,"The progression of a cardiac septum over time, from its initial formation to the mature structure.",BP
Four,PRDM1,aipysurusLaevis,GO:0035904,aorta development,"The progression of the aorta over time, from its initial formation to the mature structure. An aorta is an artery that carries blood from the heart to other parts of the body.",BP
Four,PRDM1,aipysurusLaevis,GO:0060976,coronary vasculature development,"The process whose specific outcome is the progression of the blood vessels of the heart over time, from its formation to the mature structure.",BP
Four,PRDM1,aipysurusLaevis,GO:0003281,ventricular septum development,The progression of the ventricular septum over time from its formation to the mature structure.,BP
Four,PRDM1,aipysurusLaevis,GO:0003170,heart valve development,"The progression of a heart valve over time, from its formation to the mature structure. A heart valve is a structure that restricts the flow of blood to different regions of the heart and forms from an endocardial cushion.",BP
Four,PRDM1,aipysurusLaevis,GO:0060576,intestinal epithelial cell development,"The process whose specific outcome is the progression of a columnar/cuboidal epithelial cell of the intestine over time, from its formation to the mature structure.",BP
Four,PRDM1,aipysurusLaevis,GO:0060707,trophoblast giant cell differentiation,The process in which a relatively unspecialized cell acquires specialized features of a trophoblast giant cell of the placenta. Trophoblast giant cells are the cell of the placenta that line the maternal decidua.,BP
Four,PRDM1,aipysurusLaevis,GO:0001892,embryonic placenta development,"The embryonically driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin.",BP
Four,PRDM1,aipysurusLaevis,GO:0032823,regulation of natural killer cell differentiation,"Any process that modulates the frequency, rate or extent of natural killer cell differentiation.",BP
Four,PRDM1,aipysurusLaevis,GO:0033082,regulation of extrathymic T cell differentiation,"Any process that modulates the frequency, rate or extent of extrathymic T cell differentiation.",BP
Four,PRDM1,aipysurusLaevis,GO:0051136,regulation of NK T cell differentiation,"Any process that modulates the frequency, rate or extent of natural killer T cell differentiation.",BP
